trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,59.21378730004653,60.21217199997045,60.21217199997045,down,0,0.770965600037016,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
24,0,24,0,61.010965700028464,62.00940360000823,62.02666670002509,up,0,0.6031330999685451,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
25,0,25,0,62.642089499975555,63.6403060000157,63.65753450000193,up,1,0.7936056999024004,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
26,0,26,0,64.45592420001049,65.45566189999226,65.45566189999226,down,0,0.5683875998947769,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
27,0,27,0,66.05350190005265,67.05181780003477,67.068531399942,up,1,0.7466735999332741,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
28,0,28,0,67.81743459997233,68.81596299994271,68.83226709999144,up,1,2.0300846999743953,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
29,0,29,0,70.86276189994533,71.86092030000873,71.87772280001082,down,0,0.6473562000319362,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
30,0,30,0,72.52683109999634,73.52529579994734,73.54183120001107,up,1,0.6235692000482231,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
31,0,31,0,74.17524200002663,75.17275350005366,75.18924920004793,down,1,0.5627437999937683,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
32,0,32,0,75.75521079997998,76.75351840001531,76.77038849995006,down,1,0.5717861999291927,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
33,0,33,0,77.3525241999887,78.35116059996653,78.36772810004186,down,1,0.5686396000673994,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
34,0,34,0,78.95024699997157,79.94848130003083,79.96535830001812,down,1,0.5348879999946803,1,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
35,0,35,0,80.51465250004549,81.51261380000506,81.52949850005098,up,1,0.5986333999317139,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
36,0,36,0,82.12889809999615,83.12677860003896,83.14343259995803,up,1,0.5139922999078408,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
37,0,37,0,83.65953579999041,84.65796780004166,84.67453169997316,up,1,0.5625236000632867,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
38,0,38,0,85.24063410004601,86.2404102999717,86.2404102999717,down,1,0.4559242998948321,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
39,0,39,0,86.7219665000448,87.72085509996396,87.72085509996396,up,1,0.35686489997897297,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
40,0,40,0,88.10236689995509,89.101251999964,89.11780799995176,down,1,0.4530588999623433,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
41,0,41,0,89.5835725000361,90.58240730001125,90.5988720000023,down,1,0.5400185999460518,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
42,0,42,0,91.14771920000203,92.14649910002481,92.1628773000557,up,1,0.6656533000059426,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
43,0,43,0,92.82859299995471,93.82698889996391,93.84386879997328,down,1,0.40029499994125217,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
44,0,44,0,94.25968420004938,95.25830830004998,95.27490650000982,down,1,0.44365470006596297,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
45,0,45,0,95.72415240004193,96.72271799994633,96.73917940002866,down,1,0.3985658000456169,2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
46,0,46,0,97.13861539994832,98.13712259999011,98.15405679994728,down,1,0.38200230000074953,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
47,0,47,0,98.53657740005292,99.53500290005468,99.55167950002942,up,1,0.5937844000291079,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
48,0,48,0,100.1517469000537,101.1491107000038,101.16583960002754,up,1,0.7058386999415234,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
